Game URL,Vote_precentage
https://www.roblox.com/games/7180042682/AC130-Military-Tycoon?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7180042682&position=24&universeId=2788648141,93%
https://www.roblox.com/games/9664474819/Burger-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9664474819&position=25&universeId=3589987987,91%
https://www.roblox.com/games/12641272458/Teamwork-Puzzles-2-Obby?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12641272458&position=26&universeId=4434803478,90%
https://www.roblox.com/games/4520749081/UPDATE-4-65-King-Legacy?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4520749081&position=27&universeId=1451439645,91%
https://www.roblox.com/games/537413528/Build-A-Boat-For-Treasure?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=537413528&position=28&universeId=210851291,93%
https://www.roblox.com/games/7041939546/Catalog-Avatar-Creator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7041939546&position=29&universeId=2711375305,87%
https://www.roblox.com/games/12781347095/Color-Hide-and-Seek?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12781347095&position=30&universeId=4476373373,79%
https://www.roblox.com/games/10449761463/The-Strongest-Battlegrounds?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=10449761463&position=31&universeId=3808081382,86%
https://www.roblox.com/games/7540891731/Red-Light-Green-Light?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7540891731&position=32&universeId=2931829660,80%
https://www.roblox.com/games/8737602449/PLS-DONATE?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8737602449&position=33&universeId=3317679266,93%
https://www.roblox.com/games/6403373529/UPDATE-Slap-Battles?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6403373529&position=34&universeId=2380077519,83%
https://www.roblox.com/games/12392649239/NEW-POLICE-GIRL-PRISON-RUN-Obby?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12392649239&position=35&universeId=4361156212,43%
https://www.roblox.com/games/9049840490/GOLD-SHADOW-Sonic-Speed-Simulator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9049840490&position=36&universeId=3405618667,93%
https://www.roblox.com/games/12931609417/NEW-Color-or-Die?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12931609417&position=37&universeId=4523856444,68%
https://www.roblox.com/games/1962086868/Tower-of-Hell?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1962086868&position=38&universeId=703124385,75%
https://www.roblox.com/games/3663340706/Warrior-Cats-Ultimate-Edition?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3663340706&position=39&universeId=1278035280,93%
https://www.roblox.com/games/3851622790/Break-In-Story?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3851622790&position=40&universeId=1318971886,90%
https://www.roblox.com/games/11763462079/Fart-Race-Gang-Race?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=11763462079&position=41&universeId=4164550385,96%
https://www.roblox.com/games/606849621/Jailbreak?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=606849621&position=42&universeId=245662005,88%
https://www.roblox.com/games/189707/Natural-Disaster-Survival?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=189707&position=43&universeId=65241,90%
https://www.roblox.com/games/2788229376/Da-Hood?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2788229376&position=44&universeId=1008451066,70%
https://www.roblox.com/games/8425128940/UPD-5-Anime-Warriors-Simulator-2?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8425128940&position=45&universeId=3222903591,93%
