name,creator,likes,active_players,favorites,visits,created_date,update_date,genre,server_size,url
School Bus Simulator,Green Valley School District,81%,1,"1,359",203699,08/01/2021,11/15/2022,All Genres,20,https://www.roblox.com/games/7184020736/School-Bus-Simulator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7184020736&position=1367&universeId=2790911549
RoBattleio  100 Player Battle LazarBeam Event,RB Battles Games,65%,0,"9,430",415468,01/07/2022,1/22/2022,All Genres,100,https://www.roblox.com/games/8473500513/RoBattle-io-100-Player-Battle-LazarBeam-Event?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8473500513&position=1369&universeId=3237813871
New ChaptersTeddy Bear,@kkgirlbest100,73%,0,807,399016,12/21/2020,11/17/2022,All Genres,10,https://www.roblox.com/games/6115690126/New-Chapters-Teddy-Bear?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6115690126&position=1370&universeId=2226927322
BedWars Tycoon,Universe Of Tycoon,51%,0,"2,426",1071491,7/31/2021,05/05/2023,Fighting,8,https://www.roblox.com/games/7180519034/BedWars-Tycoon?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7180519034&position=1368&universeId=2788939442
Area 51  Story,Mad Snow,45%,0,"42,694",7949217,7/25/2019,08/08/2019,All Genres,60,https://www.roblox.com/games/3535248362/Area-51-Story?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3535248362&position=1373&universeId=1249670391
Piggy Find the Markers EASTER EGG HUNT,Find the Piggy Markers,75%,0,"10,852",1861739,03/09/2022,4/29/2023,All Genres,40,https://www.roblox.com/games/9056549676/Piggy-Find-the-Markers-EASTER-EGG-HUNT?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9056549676&position=1372&universeId=3407664719
SCP Area14 ROLEPLAY,@Silou34,79%,0,"71,673",6557636,3/21/2017,4/25/2023,Sci-Fi,40,https://www.roblox.com/games/706231710/SCP-Area-14-ROLEPLAY?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=706231710&position=1374&universeId=305851423
Glitchtale Undertale Final Heroes,@AllBluw,70%,0,"3,193",538715,5/26/2022,4/21/2023,All Genres,6,https://www.roblox.com/games/9729061182/Glitchtale-Undertale-Final-Heroes?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9729061182&position=1371&universeId=3607932304
The Backrooms Rebirth,The Outerworkings,86%,0,"10,571",758231,08/05/2020,05/10/2023,Horror,5,https://www.roblox.com/games/5504302146/The-Backrooms-Rebirth?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5504302146&position=1375&universeId=1924067044
Sonic Speed Run Simulator,@Ult1m4tpr0,62%,0,"1,930",939737,2/21/2021,9/16/2022,Adventure,20,https://www.roblox.com/games/6424703706/Sonic-Speed-Run-Simulator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6424703706&position=1376&universeId=2391597327
The Lanes  Bowling,BanTech Systems,88%,9,"69,466",1557723,1/16/2018,06/01/2022,Sports,30,https://www.roblox.com/games/1333478699/The-Lanes-Bowling?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1333478699&position=1377&universeId=536610775
SCP Roleplay,Foundation Game,70%,156,"18,531",5388588,8/25/2021,4/23/2023,All Genres,30,https://www.roblox.com/games/7327499574/SCP-Roleplay?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7327499574&position=1379&universeId=2859099864
Glitchtale Continue,@MonoR0se,86%,0,448,21273,12/25/2021,4/15/2023,All Genres,12,https://www.roblox.com/games/8353874513/Glitchtale-Continue?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8353874513&position=1378&universeId=3197194515
Funky Night Friday,@SinisterSquidd,38%,0,313,129015,7/16/2021,1/28/2023,All Genres,12,https://www.roblox.com/games/7104162219/Funky-Night-Friday?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7104162219&position=1380&universeId=2746867511
Guess the Cookie Run Kingdom Characters,@Awxvhz,81%,0,"1,057",146030,9/16/2021,01/06/2023,All Genres,10,https://www.roblox.com/games/7489387211/Guess-the-Cookie-Run-Kingdom-Characters?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7489387211&position=1383&universeId=2915782873
 City of Greenpoint,@policeofficer1221,69%,0,"24,426",3101715,09/04/2018,05/04/2023,Town and City,30,https://www.roblox.com/games/2311704864/City-of-Greenpoint?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2311704864&position=1381&universeId=805753881
 FALLOUT OCS,Orange Colored Skies,70%,0,"4,096",210334,11/07/2020,05/08/2023,Adventure,100,https://www.roblox.com/games/5927697884/FALLOUT-OCS?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5927697884&position=1384&universeId=2127324222
UPD Fall Boys Tycoon 2,Sinister Tycoons,41%,0,"20,051",1707315,01/03/2021,9/21/2022,All Genres,4,https://www.roblox.com/games/6184878606/UPD-Fall-Boys-Tycoon-2?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6184878606&position=1386&universeId=2264593500
Picture Block,More Fun,59%,170,"99,809",78472067,12/30/2020,04/01/2021,All Genres,12,https://www.roblox.com/games/6161408658/Picture-Block?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6161408658&position=1387&universeId=2251478786
Find the Sonics,@standingj19,45%,0,"3,253",712502,12/11/2021,04/11/2022,All Genres,20,https://www.roblox.com/games/8225042346/Find-the-Sonics?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8225042346&position=1385&universeId=3157199071
CupHead obby EVENTO,@TESTEtunn,48%,34,"25,048",12511086,03/04/2022,05/09/2023,Adventure,10,https://www.roblox.com/games/9003589477/CupHead-obby-EVENTO?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9003589477&position=1382&universeId=3392692041
Deep Sea Gymnastics V2,@Graceipoo,73%,0,"5,003",1240694,04/10/2022,1/14/2023,All Genres,100,https://www.roblox.com/games/9326978303/Deep-Sea-Gymnastics-V2?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9326978303&position=1388&universeId=3488868512
Fall Block,More Fun,65%,66,"513,463",255196576,12/29/2020,3/13/2023,All Genres,15,https://www.roblox.com/games/6155643742/Fall-Block?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6155643742&position=1389&universeId=2248521760
Virus  STORY,ChainLemonade Studios,61%,0,"147,366",34274415,04/11/2020,3/16/2022,All Genres,50,https://www.roblox.com/games/4886251849/Virus-STORY?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4886251849&position=1390&universeId=1667380903
UPDATE Sonic Dream Adventure RP,@ExetiorSonicDream,78%,23,"5,454",2008976,02/08/2022,05/06/2023,Adventure,61,https://www.roblox.com/games/8767326725/UPDATE-Sonic-Dream-Adventure-RP?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8767326725&position=1391&universeId=3326226099
A Pirates Tale Alpha,A Pirate's Tale,87%,2,"67,204",2773196,3/18/2018,7/31/2021,Adventure,25,https://www.roblox.com/games/1524422222/A-Pirates-Tale-Alpha?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1524422222&position=1392&universeId=597448407
Slendytubbies RP,@Mapyxap2,65%,126,"9,450",4893085,07/02/2021,05/06/2023,RPG,25,https://www.roblox.com/games/7035330852/Slendytubbies-RP?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7035330852&position=1394&universeId=2707712504
CHAPTER 2 The Truth Untold,@oohhonk,76%,9,"161,588",9393925,7/20/2021,01/02/2023,Horror,25,https://www.roblox.com/games/7127477721/CHAPTER-2-The-Truth-Untold?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7127477721&position=1395&universeId=2760165940
Adventure Story,@vetexgames,88%,23,"171,854",11093156,10/19/2017,02/12/2020,Adventure,1,https://www.roblox.com/games/1117315411/Adventure-Story?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1117315411&position=1393&universeId=461037015
VOICE CHAT BrookhavenRP Minecraft,@MarkMobstaz,47%,13,"16,721",6495744,5/27/2021,11/17/2021,All Genres,13,https://www.roblox.com/games/6871122329/VOICE-CHAT-BrookhavenRP-Minecraft?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6871122329&position=1397&universeId=2618993276
Scary Elevator,@lZatoxl,79%,0,"1,913",1305450,06/12/2021,9/25/2021,Horror,12,https://www.roblox.com/games/6945989448/Scary-Elevator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6945989448&position=1396&universeId=2659446851
SCARY Button Eyes Chapter 1,DDBP:Productions,75%,0,"136,374",8211940,7/18/2020,2/22/2023,Horror,18,https://www.roblox.com/games/5368152471/SCARY-Button-Eyes-Chapter-1?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5368152471&position=1399&universeId=1881830245
Undertale Weird Multiverse,@SleperDemon,70%,24,"3,693",930724,5/30/2022,04/01/2023,Fighting,15,https://www.roblox.com/games/9768209306/Undertale-Weird-Multiverse?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9768209306&position=1400&universeId=3618815881
Blastaway Newmex PROLOGOS Small update,@Ghaucho,81%,7,"59,549",2655566,6/24/2011,04/12/2023,RPG,40,https://www.roblox.com/games/54747950/Blastaway-Newmex-PROLOGOS-Small-update?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=54747950&position=1401&universeId=9251267
Discontinued UCN Extended 070,@ProtoScrap8790,84%,0,"8,617",619419,12/28/2020,03/11/2023,Horror,13,https://www.roblox.com/games/6151914924/Discontinued-UCN-Extended-0-7-0?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6151914924&position=1398&universeId=2246584047
Fallen 2019,Chunk Studios,64%,30,"39,322",1836883,10/22/2018,05/05/2023,FPS,1,https://www.roblox.com/games/2506738224/Fallen-2019?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2506738224&position=1403&universeId=887491118
Pine Hill Ski Resort,Pine Hill Ski Resort,82%,4,"5,000",732667,4/20/2020,04/08/2023,All Genres,100,https://www.roblox.com/games/4923288280/Pine-Hill-Ski-Resort?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4923288280&position=1402&universeId=1686114546
Five Nights at Freddys FNAF 1,@FrootLoopsPoptart,71%,101,"49,881",28217093,08/08/2021,12/28/2022,Horror,5,https://www.roblox.com/games/7223118463/Five-Nights-at-Freddys-FNAF-1?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7223118463&position=1404&universeId=2811980182
Doors Story Arcade Night Story ,EcoCrashed Games,68%,33,"85,064",23667505,05/01/2021,05/10/2023,All Genres,30,https://www.roblox.com/games/6751893745/Doors-Story-Arcade-Night-Story?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6751893745&position=1405&universeId=2557089901
realistic ww2 tank simulator,@5044x,68%,157,"46,785",9796925,04/10/2022,02/02/2023,All Genres,42,https://www.roblox.com/games/9329726891/realistic-ww2-tank-simulator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9329726891&position=1406&universeId=3489738241
Adventure Up,"Ready, set, play!",93%,39,"319,977",68310163,5/19/2019,04/06/2023,RPG,36,https://www.roblox.com/games/3194820651/Adventure-Up?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3194820651&position=1408&universeId=1153781324
Horror Hospital,Astra's Army,42%,15,"47,887",5469565,7/28/2021,2/28/2023,Horror,10,https://www.roblox.com/games/7164685699/Horror-Hospital?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7164685699&position=1409&universeId=2780345224
Petals,@RazzyPlayz,97%,0,"11,047",240767,01/12/2022,5/17/2022,All Genres,1,https://www.roblox.com/games/8518229130/Petals?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8518229130&position=1410&universeId=3251383064
Leon County,Palm Creations,86%,0,"62,991",2557952,04/06/2020,05/10/2023,Town and City,30,https://www.roblox.com/games/4864471973/Leon-County?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4864471973&position=1407&universeId=1655261678
Horror Stories Darkness,🔪Horror Stories Community🔪,65%,4,"40,703",6557410,07/06/2018,12/01/2022,Horror,12,https://www.roblox.com/games/2045329387/Horror-Stories-Darkness?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2045329387&position=1412&universeId=721146906
Pet Simulator Z,@xMystle,21%,0,"2,236",1176008,08/07/2021,11/18/2021,All Genres,50,https://www.roblox.com/games/7215841186/Pet-Simulator-Z?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7215841186&position=1411&universeId=2807923929
Fort Lemont  French Army Headquarters,Army of the French Empire,70%,0,"2,863",490632,7/18/2016,05/09/2023,Military,700,https://www.roblox.com/games/460438777/Fort-Lemont-French-Army-Headquarters?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=460438777&position=1413&universeId=176316136
Warrior Cats Roleplay Mountain Territory,Warrior Cats Roleplay: Mountain Territories' Group,78%,0,"12,363",1282580,05/05/2019,4/26/2021,All Genres,55,https://www.roblox.com/games/3149666724/Warrior-Cats-Roleplay-Mountain-Territory?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3149666724&position=1414&universeId=1137070253
DtSNP  Development Testing Place,Nostalgic Proctors,93%,13,"1,932",172214,3/31/2022,05/11/2023,Fighting,8,https://www.roblox.com/games/9246175521/DtS-NP-Development-Testing-Place?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9246175521&position=1415&universeId=3464172496
Amanda The Adventurer,@MG_MakesGames,77%,6,"2,776",670198,01/12/2020,05/04/2023,Horror,1,https://www.roblox.com/games/4594615567/Amanda-The-Adventurer?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4594615567&position=1416&universeId=1497825222
Project Sentries Reborn,AnchorLinks,96%,0,"1,794",21219,03/07/2021,03/09/2023,Sci-Fi,100,https://www.roblox.com/games/6485510592/Project-Sentries-Reborn?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6485510592&position=1417&universeId=2424325641
Medieval RP Sorcerers Awakening,@FarmerJaller,90%,0,"133,260",19424217,5/20/2010,03/03/2023,Medieval,45,https://www.roblox.com/games/27428457/Medieval-RP-Sorcerers-Awakening?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=27428457&position=1418&universeId=36461862
Space STORY ,Tomorrow Labs,66%,76,"149,134",33604778,05/02/2020,12/12/2022,Horror,80,https://www.roblox.com/games/4976274504/Space-STORY?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4976274504&position=1419&universeId=1711811255
Celebrity  STORY,TuckitTom Studios,91%,1,"35,705",7220673,07/10/2022,04/08/2023,All Genres,55,https://www.roblox.com/games/10179753298/Celebrity-STORY?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=10179753298&position=1420&universeId=3734366305
The Roleplay Location,The Roleplay Location,84%,1,"13,774",2190870,09/06/2021,3/24/2023,RPG,1,https://www.roblox.com/games/7422946542/The-Roleplay-Location?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7422946542&position=1422&universeId=2892278331
Zombie Task Force,ROWGNationStudios,85%,0,"53,510",5177940,2/15/2020,05/08/2023,Fighting,48,https://www.roblox.com/games/4693424588/Zombie-Task-Force?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4693424588&position=1421&universeId=1554154382
Project SCP VR SUPPORT,Project : SCP,80%,134,"105,244",12378136,08/10/2020,05/11/2023,All Genres,1,https://www.roblox.com/games/5534891288/Project-SCP-VR-SUPPORT?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5534891288&position=1425&universeId=1934496708
Teraphobia Horror,Ph4ntoms Developments,41%,0,"28,421",1014639,12/13/2021,04/09/2023,Horror,30,https://www.roblox.com/games/8242918179/Teraphobia-Horror?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8242918179&position=1424&universeId=3162716377
mid eastern conflict sim,@ImmaGoSickoMode,75%,119,"41,423",2204810,05/03/2022,05/10/2023,FPS,44,https://www.roblox.com/games/9531918774/INFECTION-mid-eastern-conflict-sim?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9531918774&position=1423&universeId=3550555214
Attack on Albert STORY,Trаsh Games,83%,10,"196,305",26936845,02/04/2020,07/10/2022,All Genres,50,https://www.roblox.com/games/4655787747/Attack-on-Albert-STORY?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4655787747&position=1426&universeId=1536766499
HALF LIFE City8 Roleplay,Half-Life World,90%,120,"76,618",5306939,2/22/2022,05/06/2023,Fighting,50,https://www.roblox.com/games/8906378074/HALF-LIFE-City-8-Roleplay?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8906378074&position=1429&universeId=3365197759
Amanda the Adventurer CHAPTER 2,ChainLemonade Studios,85%,39,"23,325",9137087,7/14/2022,05/08/2023,Adventure,50,https://www.roblox.com/games/10225250058/Amanda-the-Adventurer-CHAPTER-2?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=10225250058&position=1431&universeId=3746711652
The Severance,Dread Development,96%,1,"34,979",640162,4/25/2021,4/23/2023,Horror,1,https://www.roblox.com/games/6727486195/The-Severance?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6727486195&position=1428&universeId=2543783628
Sussy Vibe 彡Hangout彡,G&T Productions,33%,43,"33,451",8216780,11/18/2021,05/11/2023,All Genres,50,https://www.roblox.com/games/8034151318/Sussy-Vibe-EVENT-Hangout?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8034151318&position=1427&universeId=3097841351
Brawl Stars Elevator,@mcmoneybacon,42%,0,"4,851",2044350,5/21/2020,4/17/2023,All Genres,22,https://www.roblox.com/games/5068210454/Brawl-Stars-Elevator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5068210454&position=1430&universeId=1754168328
Eternal Insolence CHAPTER 3 SOON,@IcyVeemy,81%,42,"173,567",9590492,11/18/2021,04/02/2023,Horror,20,https://www.roblox.com/games/8035705166/Eternal-Insolence-CHAPTER-3-SOON?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8035705166&position=1433&universeId=3098293383
Ride a Speeding Box Down a SlideVC POPPY,pixelmoon.,69%,36,"1,530",1849219,03/02/2022,10/27/2022,All Genres,20,https://www.roblox.com/games/8990375062/Ride-a-Speeding-Box-Down-a-Slide-VC-POPPY?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8990375062&position=1434&universeId=3388852102
BabysitterSTORY,TuckitTom Studios,86%,44,"23,152",10711241,9/19/2021,04/08/2023,All Genres,60,https://www.roblox.com/games/7517400353/Babysitter-STORY?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7517400353&position=1432&universeId=2924723033
CAVERNS Clone Wars Enrage,IITGRAII The Grand Republic Army,85%,42,"18,015",2219527,11/26/2018,05/11/2023,Fighting,25,https://www.roblox.com/games/2602644507/CAVERNS-Clone-Wars-Enrage?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2602644507&position=1437&universeId=933362791
UPDATE FNAF Security Breach Morphs,Maze Productions,87%,45,"150,024",81969710,05/04/2020,05/04/2023,RPG,16,https://www.roblox.com/games/4984691717/UPDATE-FNAF-Security-Breach-Morphs?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4984691717&position=1436&universeId=1715762989
Update Slayers Legacy Alpha,Nok Studio,81%,4,"45,244",5582207,04/04/2020,4/26/2023,All Genres,16,https://www.roblox.com/games/4858515647/Update-Slayers-Legacy-Alpha?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4858515647&position=1435&universeId=1651996735
Faith,[ Content Deleted 5022320 ],80%,74,"187,487",7127259,04/06/2022,3/15/2023,All Genres,30,https://www.roblox.com/games/9297627871/Faith?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9297627871&position=1438&universeId=3480116337
Chapter 2 Before Truth Horror,@johnpcps,91%,243,"223,928",14693380,1/21/2022,05/07/2023,Horror,20,https://www.roblox.com/games/8597349706/Chapter-2-Before-Truth-Horror?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8597349706&position=1440&universeId=3274669156
Poppy Playtime RP New Begin,@DekiFruiiti,79%,13,"114,609",48584921,08/08/2021,04/07/2023,Horror,40,https://www.roblox.com/games/7223389989/Poppy-Playtime-RP-New-Begin?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7223389989&position=1439&universeId=2812134100
